ID;Genotipo;ATF;Age;dlg4.Cq1;dlg4.Cq2;dlg4.Cq3;dlg4.mean;gapdh.Cq1;gapdh.Cq2;gapdh.Cq3;gapdh.mean;dCq;ddCq;2^-ddCq
9714;Htt-;NI-Htt-;7;21,12;20,97;20,9;20,99666667;17,08;17,03;17,04;17,05;3,946666667;-0,014;1,009751298
8262;Htt-;NI-Htt-;7;21,35;20,92;20,88;21,05;17,05;17,11;17,31;17,15666667;3,893333333;-0,067333333;1,047778187
6386;Htt-;NI-Htt-;7;21,35;21,12;21,17;21,21333333;17,31;17,3;17,35;17,32;3,893333333;-0,067333333;1,047778187
1508;Htt-;NI-Htt-;7;21,32;21,39;21,36;21,35666667;17,19;17,54;17,29;17,34;4,016666667;0,056;0,961927455
8831;Htt-;NI-Htt-;7;21,41;21,29;21,37;21,35666667;17,21;17,43;17,27;17,30333333;4,053333333;0,092666667;0,937787746
5472;Htt+;NI-Htt+;7;22,47;23,37;22,99;22,94333333;17,79;17,98;17,6;17,79;5,153333333;1,192666667;0,437493453
8582;Htt+;NI-Htt+;7;21,93;21,91;21,99;21,94333333;17,2;17,38;17,02;17,2;4,743333333;0,782666667;0,581291345
9320;Htt+;NI-Htt+;7;20,6;21,13;20,5;20,74333333;16,16;15,86;15,66;15,89333333;4,85;0,889333333;0,539863531
7190;NoED;PSD95-6ZF-NoED;7;22,37;22,72;23,08;22,72333333;17,27;17,69;17,89;17,61666667;5,106666667;1,146;0,451876363
6362;NoED;PSD95-6ZF-NoED;7;22,46;23,29;22,5;22,75;17,79;17,94;17,61;17,78;4,97;1,009333333;0,496775754
9162;NoED;PSD95-6ZF-NoED;7;20,15;19,77;20,06;19,99333333;15,39;15,05;15,7;15,38;4,613333333;0,652666667;0,636103458
9091;NoED;PSD95-6ZF-NoED;7;20,04;20,84;20,32;20,4;15,82;16,16;15,8;15,92666667;4,473333333;0,512666667;0,700925654
6926;VP64;PSD95-6ZF-VP64;7;20,63;20,56;20,59;20,59333333;16,7;16,84;17,26;16,93333333;3,66;-0,300666667;1,231713454
8831;VP64;PSD95-6ZF-VP64;7;21,13;21,14;21,13;21,13333333;17,34;17,47;17,64;17,48333333;3,65;-0,310666667;1,240280699
8966;VP64;PSD95-6ZF-VP64;7;19,02;19,05;19,6;19,22333333;15,33;15,93;16,1;15,78666667;3,436666667;-0,524;1,437936533
8187;VP64;PSD95-6ZF-VP64;7;20,35;20,39;20,44;20,39333333;16,4;18,7;16,07;17,05666667;3,336666667;-0,624;1,541142217
